,1Y Return (%),Excess Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Avg Daily Vol (%)
Axis Bank,10.77,18.78,24.3,0.54,-17.23,1.53
Bajaj Fin,0.91,8.92,29.83,0.18,-26.74,1.88
Airtel,-4.2,3.81,20.15,-0.11,-18.77,1.27
HCLTech,-11.69,-3.68,28.67,-0.29,-39.06,1.81
HDFC Bank,-24.14,-16.13,21.16,-1.2,-30.81,1.33
ICICI Bank,-3.61,4.4,19.34,-0.09,-16.08,1.22
Infosys,-27.25,-19.24,29.94,-0.92,-40.43,1.89
Kotak Bank,2.81,10.82,21.08,0.24,-20.61,1.33
L&T,4.83,12.84,24.77,0.31,-24.35,1.56
Maruti,-21.09,-13.08,23.07,-0.92,-28.94,1.45
Reliance,-11.35,-3.35,20.34,-0.49,-22.06,1.28
SBI,21.37,29.38,23.56,0.94,-22.11,1.48
TCS,-27.53,-19.52,28.25,-1.0,-38.46,1.78
Titan,38.46,46.47,23.16,1.53,-11.27,1.46
Wipro,-31.83,-23.82,25.11,-1.4,-36.72,1.58
